id,Name,Country,Score
716,Birkbeck, University of London,United Kingdom,72.2
717,International School for Advanced Studies,Italy,72.2
718,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,Russia,72.2
719,Montana State University - Bozeman,USA,72.1
720,University of Angers,France,72.1
721,Yangzhou University,China,72.1
722,Niigata University,Japan,72.1
723,Qingdao University,China,72.1
724,Central Party School of the Communist Party of China,China,72.1
725,American University of Beirut,Lebanon,72.1
726,Kangwon National University,South Korea,72.1
727,University of Maryland, Baltimore County,USA,72.1
728,Federal University of Santa Catarina,Brazil,72.1
729,University of Massachusetts Boston,USA,72.1
730,Bangor University,United Kingdom,72.1
731,Beijing University of Technology,China,72.1
732,Antioch College,USA,72.0
733,Ajou University,South Korea,72.0
734,Army Medical University,China,72.0
735,Tokyo University of Science,Japan,72.0
736,University of Vigo,Spain,72.0
737,Beijing University of Posts and Telecommunications,China,72.0
738,University of Alaska Fairbanks,USA,72.0
739,Augusta University,USA,72.0
740,University of Salento,Italy,72.0
741,Technical University of Braunschweig,Germany,72.0
742,Quaid-i-Azam University,Pakistan,72.0
743,SUNY Downstate Medical Center,USA,72.0
744,Guangdong University of Technology,China,72.0
745,Osaka City University,Japan,71.9
746,Northwest University, Xi'an,China,71.9
747,University of Castilla–La Mancha,Spain,71.9
748,Kitasato University,Japan,71.9
749,University of Cyprus,Cyprus,71.9
750,University of the Andes, Colombia,Colombia,71.9
751,University of Idaho,USA,71.9
752,Kent State University,USA,71.9
753,Amirkabir University of Technology,Iran,71.9
754,Nanjing University of Posts and Telecommunications,China,71.9
755,Yerevan Physics Institute,Armenia,71.9
756,University of Essex,United Kingdom,71.9
757,South China Agricultural University,China,71.9
758,Sejong University,South Korea,71.8
759,Shaanxi Normal University,China,71.8
760,Air Force Medical University,China,71.8
761,University of Wuppertal,Germany,71.8
762,Institute for Nuclear Research of the Russian Academy of Sciences,Russia,71.8
763,Graduate Faculty, General Research Institute For Nonferrous Metals,China,71.8
764,University of Lübeck,Germany,71.8
765,Yeungnam University,South Korea,71.8
766,University of Split,Croatia,71.8
767,Centrale Lille Institut,France,71.8
768,University of Girona,Spain,71.8
769,Örebro University,Sweden,71.8
770,Hohai University,China,71.8
771,Shanxi University,China,71.8
772,University of the Balearic Islands,Spain,71.7
773,University of Montana,USA,71.7
774,Ohio University,USA,71.7
775,University of Murcia,Spain,71.7
776,National Taiwan University of Science and Technology,Taiwan,71.7
777,Gwangju Institute of Science and Technology,South Korea,71.7
778,University of Science, Malaysia,Malaysia,71.7
779,Federal University of Paraná,Brazil,71.7
780,Marche Polytechnic University,Italy,71.7
781,Belarusian State University,Belarus,71.7
782,Kaohsiung Medical University,Taiwan,71.7
783,University of Natural Resources and Life Sciences, Vienna,Austria,71.7
784,Sorbonne Paris Nord University,France,71.7
785,Wenzhou Medical University,China,71.6
786,Northern Illinois University,USA,71.6
787,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,Russia,71.6
788,University of Córdoba, Spain,Spain,71.6
789,National Sun Yat-sen University,Taiwan,71.6
790,University of Patras,Greece,71.6
791,Norwegian University of Life Sciences,Norway,71.6
792,Tarbiat Modares University,Iran,71.6
793,Harbin Medical University,China,71.6
794,University of Hohenheim,Germany,71.6
795,Guangzhou Medical University,China,71.6
796,University of North Carolina at Charlotte,USA,71.6
797,Ain Shams University,Egypt,71.6
798,Carl von Ossietzky University of Oldenburg,Germany,71.6
799,Gyeongsang National University,South Korea,71.5
800,China Medical University, PRC,China,71.5
801,University of Siegen,Germany,71.5
802,Gustave Eiffel University,France,71.5
803,University of Jinan,China,71.5
804,Beijing Forestry University,China,71.5
805,Putra University, Malaysia,Malaysia,71.5
806,University of L'Aquila,Italy,71.5
807,Kindai University,Japan,71.5
808,Nagasaki University,Japan,71.5
809,COMSATS University Islamabad,Pakistan,71.5
810,Polytechnic University of Bari,Italy,71.5
811,Brazilian Center for Research in Physics (CBPF),Brazil,71.5
812,University of Rhode Island,USA,71.5
813,Open University, UK,United Kingdom,71.4
814,Carlos III University of Madrid,Spain,71.4
815,University of Denver,USA,71.4
816,National University of Colombia,Colombia,71.4
817,University of Toledo,USA,71.4
818,Indian Institute of Technology Kanpur,India,71.4
819,Adam Mickiewicz University in Poznań,Poland,71.4
820,Shizuoka University,Japan,71.4
821,University of Basilicata,Italy,71.4
822,Miami University,USA,71.4
823,Jawaharlal Nehru University,India,71.4
824,Old Dominion University,USA,71.4
825,University of Concepción,Chile,71.4
826,Harbin Engineering University,China,71.4
827,University of Alcalá,Spain,71.3
828,Graz University of Technology,Austria,71.3
829,Ryerson University,Canada,71.3
830,Getúlio Vargas Foundation,Brazil,71.3
831,University of Tours,France,71.3
832,University of Nevada, Las Vegas,USA,71.3
833,Jawaharlal Nehru Centre for Advanced Scientific Research,India,71.3
834,Federico Santa María Technical University,Chile,71.3
835,Hasselt University,Belgium,71.3
836,University of Messina,Italy,71.3
837,University of Wrocław,Poland,71.3
838,Juntendo University,Japan,71.3
839,Ege University,Turkey,71.3
840,Aberystwyth University,United Kingdom,71.3
841,Federal University of Pernambuco,Brazil,71.3
842,Benemérita Autonomous University of Puebla,Mexico,71.2
843,Rutgers University–Newark,USA,71.2
844,Gazi University,Turkey,71.2
845,University of Alicante,Spain,71.2
846,Wesleyan University,USA,71.2
847,University of California, Merced,USA,71.2
848,Cranfield University,United Kingdom,71.2
849,University of Mons,Belgium,71.2
850,University of Louisiana at Lafayette,USA,71.2
851,Liverpool John Moores University,United Kingdom,71.2
852,Ivane Javakhishvili Tbilisi State University,Georgia,71.2
853,Jean Monnet University,France,71.2
854,Sofia University,Bulgaria,71.2
855,Graduate University for Advanced Studies,Japan,71.2
856,Banaras Hindu University,India,71.1
857,INSA Toulouse,France,71.1
858,All India Institute of Medical Sciences, New Delhi,India,71.1
859,Uniformed Services University of the Health Sciences,USA,71.1
860,Indian Institute of Technology Roorkee,India,71.1
861,Northern Arizona University,USA,71.1
862,Tomsk State University,Russia,71.1
863,Technical University of Kaiserslautern,Germany,71.1
864,University of Luxembourg,Luxembourg,71.1
865,City, University of London,United Kingdom,71.1
866,Anhui University,China,71.1
867,Murdoch University,Australia,71.1
868,Chongqing Medical University,China,71.1
869,University of Orléans,France,71.1
870,Southern Illinois University Carbondale,USA,71.1
871,Babeș-Bolyai University,Romania,71.0
872,University of Brasília,Brazil,71.0
873,Henan University,China,71.0
874,University of Brighton,United Kingdom,71.0
875,Dongguk University,South Korea,71.0
876,National Centre for Nuclear Research,Poland,71.0
877,University of Insubria,Italy,71.0
878,University of Akron,USA,71.0
879,Hangzhou Normal University,China,71.0
880,Iran University of Science and Technology,Iran,71.0
881,National Research University Higher School of Economics,Russia,71.0
882,Shandong University of Science and Technology,China,71.0
883,China Pharmaceutical University,China,71.0
884,National University of Malaysia (UKM),Malaysia,71.0
885,Norwegian School of Economics,Norway,71.0
886,Portland State University,USA,70.9
887,Budapest University of Technology and Economics,Hungary,70.9
888,Jaume I University,Spain,70.9
889,University of Seoul,South Korea,70.9
890,Gachon University,South Korea,70.9
891,Polytechnic University of Bucharest,Romania,70.9
892,Peter the Great St. Petersburg Polytechnic University,Russia,70.9
893,New Mexico State University,USA,70.9
894,Nihon University,Japan,70.9
895,University of Stirling,United Kingdom,70.9
896,Federal University of ABC,Brazil,70.9
897,University of Hyogo,Japan,70.9
898,East Carolina University,USA,70.9
899,ShanghaiTech University,China,70.9
900,Inje University,South Korea,70.9
901,University of Technology, Malaysia,Malaysia,70.8
902,Keele University,United Kingdom,70.8
903,University of Valladolid,Spain,70.8
904,Michigan Technological University,USA,70.8
905,Guangxi University,China,70.8
906,North Dakota State University,USA,70.8
907,Ningbo University,China,70.8
908,University of Portsmouth,United Kingdom,70.8
909,London Business School,United Kingdom,70.8
910,Institut national de la recherche scientifique,Canada,70.8
911,Oberlin College,USA,70.8
912,Federal University of Viçosa,Brazil,70.8
913,Çukurova University,Turkey,70.8
914,University of Windsor,Canada,70.8
915,Tokushima University,Japan,70.8
916,Missouri University of Science and Technology,USA,70.8
917,University of Poitiers,France,70.7
918,Paul Valéry University,France,70.7
919,University of Science and Technology, Korea,South Korea,70.7
920,Zhejiang Normal University,China,70.7
921,Ulster University,United Kingdom,70.7
922,Northumbria University,United Kingdom,70.7
923,Meijo University,Japan,70.7
924,North-West University,South Africa,70.7
925,Shandong First Medical University & Shandong Academy of Medical Sciences,China,70.7
926,Johannes Kepler University Linz,Austria,70.7
927,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,Russia,70.7
928,Pepperdine University,USA,70.7
929,Federal University of Ceará,Brazil,70.7
930,Federal University of Pelotas,Brazil,70.7
931,Gabriele d’Annunzio University,Italy,70.7
932,Ritsumeikan University,Japan,70.6
933,Claremont McKenna College,USA,70.6
934,Makerere University,Uganda,70.6
935,Shiraz University,Iran,70.6
936,Bucknell University,USA,70.6
937,Chungbuk National University,South Korea,70.6
938,Indian Institute of Technology Guwahati,India,70.6
939,University of the Republic, Uruguay,Uruguay,70.6
940,Bilkent University,Turkey,70.6
941,National University of Córdoba,Argentina,70.6
942,Sanford Burnham Prebys Medical Discovery Institute,USA,70.6
943,Medical University of Warsaw,Poland,70.6
944,Chiang Mai University,Thailand,70.6
945,Khalifa University,United Arab Emirates,70.6
946,Mohammed V University,Morocco,70.6
947,Colgate University,USA,70.6
948,New Jersey Institute of Technology,USA,70.5
949,Lappeenranta University of Technology,Finland,70.5
950,Tokyo University of Agriculture and Technology,Japan,70.5
951,University of Regina,Canada,70.5
952,Tunis El Manar University,Tunisia,70.5
953,Anhui Medical University,China,70.5
954,University of Franche-Comté,France,70.5
955,Autonomous University of San Luis Potosí,Mexico,70.5
956,Yanshan University,China,70.5
957,Aston University,United Kingdom,70.5
958,University of Naples Parthenope,Italy,70.5
959,Pomona College,USA,70.5
960,Qingdao University of Science and Technology,China,70.5
961,Shandong Agricultural University,China,70.5
962,King Juan Carlos University,Spain,70.5
963,University of Limerick,Ireland,70.5
964,Ehime University,Japan,70.4
965,University of Memphis,USA,70.4
966,Xiangtan University,China,70.4
967,Tokai University,Japan,70.4
968,Federal University of São Carlos,Brazil,70.4
969,University of Upper Alsace,France,70.4
970,Victoria University,Australia,70.4
971,University of Sassari,Italy,70.4
972,University of Texas Rio Grande Valley,USA,70.4
973,Ferdowsi University of Mashhad,Iran,70.4
974,Shandong Normal University,China,70.4
975,Taiyuan University of Technology,China,70.4
976,Wroclaw Medical University,Poland,70.4
977,Gifu University,Japan,70.4
978,Florida Institute of Technology,USA,70.4
979,Fluminense Federal University,Brazil,70.4
980,Hunter College,USA,70.4
981,Qatar University,Qatar,70.3
982,Henan Normal University,China,70.3
983,ITMO University,Russia,70.3
984,Mansoura University,Egypt,70.3
985,Wrocław University of Science and Technology,Poland,70.3
986,Miguel Hernández University of Elche,Spain,70.3
987,Federal University of Juiz de Fora,Brazil,70.3
988,Shahid Beheshti University of Medical Sciences,Iran,70.3
989,Cheung Kong Graduate School of Business,China,70.3
990,Fujian Agriculture and Forestry University,China,70.3
991,Osaka Prefecture University,Japan,70.3
992,Shanghai Normal University,China,70.3
993,University of A Coruña,Spain,70.3
994,University of Tabriz,Iran,70.3
995,Hunan Normal University,China,70.3
996,Hallym University,South Korea,70.3
997,Marmara University,Turkey,70.2
998,Hangzhou Dianzi University,China,70.2
999,Alexandria University,Egypt,70.2
1000,American University,USA,70.2
1001,University of Extremadura,Spain,70.2
1002,Federal University of Rio Grande do Norte,Brazil,70.2
1003,Capital Normal University,China,70.2
1004,Creighton University,USA,70.2
1005,Louisiana Tech University,USA,70.2
1006,Yamagata University,Japan,70.2
1007,Tokyo Women's Medical University,Japan,70.2
1008,University of Toyama,Japan,70.2
1009,University of Mannheim,Germany,70.2
1010,University of Bucharest,Romania,70.2
1011,VetAgro Sup,France,70.2
1012,Academy of Scientific & Innovative Research,India,70.2
1013,Kunming University of Science and Technology,China,70.2
1014,Medical University of Lodz,Poland,70.1
1015,Sogang University,South Korea,70.1
1016,Nicolaus Copernicus University,Poland,70.1
1017,Nantong University,China,70.1
1018,Yunnan University,China,70.1
1019,Federal University of Bahia,Brazil,70.1
1020,United States Naval Academy,USA,70.1
1021,University of Shanghai for Science and Technology,China,70.1
1022,University of Texas at El Paso,USA,70.1
1023,National Taiwan Normal University,Taiwan,70.1
1024,SUNY Upstate Medical University,USA,70.1
1025,Royal College of Surgeons in Ireland,Ireland,70.1
1026,Federal University of Santa Maria,Brazil,70.1
1027,Babson College,USA,70.1
1028,Mohamed First University Oujda,Morocco,70.1
1029,Chuo University,Japan,70.1
1030,Rouen Normandy University,France,70.1
1031,Brandenburg University of Technology,Germany,70.0
1032,Jadavpur University,India,70.0
1033,Manhattan College,USA,70.0
1034,Cadi Ayyad University,Morocco,70.0
1035,Guangzhou University,China,70.0
1036,University of New England, Australia,Australia,70.0
1037,Edith Cowan University,Australia,70.0
1038,École nationale supérieure de chimie de Montpellier,France,70.0
1039,Sichuan Agricultural University,China,70.0
1040,Gaziantep University,Turkey,70.0
1041,Qufu Normal University,China,70.0
1042,Nanjing Forestry University,China,70.0
1043,Villanova University,USA,70.0
1044,Dublin City University,Ireland,70.0
1045,Yıldız Technical University,Turkey,70.0
1046,National Taipei University of Technology,Taiwan,70.0
1047,Paderborn University,Germany,70.0
1048,Kagoshima University,Japan,69.9
1049,Gunma University,Japan,69.9
1050,University of Urbino,Italy,69.9
1051,IMT Atlantique,France,69.9
1052,University of South Bohemia,Czech Republic,69.9
1053,University of Augsburg,Germany,69.9
1054,University of New Brunswick,Canada,69.9
1055,Rochester Institute of Technology,USA,69.9
1056,Smith College,USA,69.9
1057,Auckland University of Technology,New Zealand,69.9
1058,Fordham University,USA,69.9
1059,University of Maribor,Slovenia,69.9
1060,University of Cádiz,Spain,69.9
1061,Federal University of Goiás,Brazil,69.9
1062,University of Puerto Rico at Mayagüez,USA,69.9
1063,University of Antioquia,Colombia,69.9
1064,Nara Institute of Science and Technology,Japan,69.9
1065,Florida Atlantic University,USA,69.9
1066,Australian Catholic University,Australia,69.8
1067,Kazan Federal University,Russia,69.8
1068,Worcester Polytechnic Institute,USA,69.8
1069,Dankook University,South Korea,69.8
1070,University of Salzburg,Austria,69.8
1071,Singapore University of Technology and Design,Singapore,69.8
1072,Jichi Medical University,Japan,69.8
1073,Kharkov Institute of Physics and Technology,Ukraine,69.8
1074,University of Jaén,Spain,69.8
1075,Hassan II University of Casablanca,Morocco,69.8
1076,Fujian Normal University,China,69.8
1077,University of North Carolina at Greensboro,USA,69.8
1078,Institute of Solid State Physics of the Russian Academy of Sciences,Russia,69.8
1079,Mersin University,Turkey,69.8
1080,Medical University of Silesia,Poland,69.8
1081,Paracelsus Medical University,Austria,69.8
1082,Aga Khan University,Pakistan,69.8
1083,Zhejiang Sci-Tech University,China,69.7
1084,University of Novi Sad,Serbia,69.7
1085,Fujian Medical University,China,69.7
1086,Nagoya City University,Japan,69.7
1087,Medical University of Gdańsk,Poland,69.7
1088,Charles Darwin University,Australia,69.7
1089,Åbo Akademi University,Finland,69.7
1090,University of Pécs,Hungary,69.7
1091,Charles Sturt University,Australia,69.7
1092,Indian Association for the Cultivation of Science,India,69.7
1093,Pablo de Olavide University,Spain,69.7
1094,University of Lleida,Spain,69.7
1095,Toho University,Japan,69.7
1096,College of the Holy Cross,USA,69.7
1097,University of Calcutta,India,69.7
1098,Liverpool School of Tropical Medicine,United Kingdom,69.7
1099,University of Hertfordshire,United Kingdom,69.7
1100,Copenhagen Business School,Denmark,69.7
1101,Loma Linda University,USA,69.6
1102,Visva-Bharati University,India,69.6
1103,University of Thessaly,Greece,69.6
1104,University of Veterinary Medicine, Vienna,Austria,69.6
1105,Shahid Beheshti University,Iran,69.6
1106,Teikyo University,Japan,69.6
1107,University of Neuchâtel,Switzerland,69.6
1108,Maria Sklodowska-Curie National Research Institute of Oncology,Poland,69.6
1109,University of Kassel,Germany,69.6
1110,University of Évry Val d'Essonne,France,69.6
1111,Manchester Metropolitan University,United Kingdom,69.6
1112,Institute of Science and Technology Austria,Austria,69.6
1113,University of Waikato,New Zealand,69.6
1114,University of Canberra,Australia,69.6
1115,University of Massachusetts Lowell,USA,69.6
1116,University of Chemistry and Technology, Prague,Czech Republic,69.6
1117,California State University, Fresno,USA,69.6
1118,Chemnitz University of Technology,Germany,69.6
1119,Soonchunhyang University,South Korea,69.5
1120,Hubei University,China,69.5
1121,National Institute of Public Health (INSP),Mexico,69.5
1122,South Dakota State University,USA,69.5
1123,Ramon Llull University,Spain,69.5
1124,Indian Institute of Science Education and Research, Pune,India,69.5
1125,Kyoto Prefectural University of Medicine,Japan,69.5
1126,Tokat Gaziosmanpaşa University,Turkey,69.5
1127,Tiangong University,China,69.5
1128,Postgraduate Institute of Medical Education and Research,India,69.5
1129,Shantou University,China,69.5
1130,Ural Federal University,Russia,69.5
1131,Shanghai University of Finance and Economics,China,69.5
1132,Metropolitan Autonomous University,Mexico,69.5
1133,San Francisco State University,USA,69.5
1134,Federal University of São João del-Rei,Brazil,69.5
1135,Wright State University,USA,69.5
1136,Marquette University,USA,69.5
1137,New York Medical College,USA,69.5
1138,University of Silesia in Katowice,Poland,69.4
1139,Aligarh Muslim University,India,69.4
1140,National Defense Medical Center,Taiwan,69.4
1141,Mie University,Japan,69.4
1142,Dokuz Eylül University,Turkey,69.4
1143,University of Sfax,Tunisia,69.4
1144,Yamaguchi University,Japan,69.4
1145,İzmir Institute of Technology,Turkey,69.4
1146,École centrale de Lyon,France,69.4
1147,Jiangsu Normal University,China,69.4
1148,Hofstra University,USA,69.4
1149,Howard University,USA,69.4
1150,Addis Ababa University,Ethiopia,69.4
1151,Bowdoin College,USA,69.4
1152,Pukyong National University,South Korea,69.4
1153,United States Military Academy,USA,69.4
1154,Luleå University of Technology,Sweden,69.4
1155,Stevens Institute of Technology,USA,69.4
1156,Ibero-American University,Mexico,69.3
1157,Chung Shan Medical University,Taiwan,69.3
1158,Jacobs University,Germany,69.3
1159,Magna Graecia University of Catanzaro,Italy,69.3
1160,Koç University,Turkey,69.3
1161,University of Las Palmas de Gran Canaria,Spain,69.3
1162,West University of Timișoara,Romania,69.3
1163,University of the Free State,South Africa,69.3
1164,Guizhou University,China,69.3
1165,Osnabrück University,Germany,69.3
1166,University of Yamanashi,Japan,69.3
1167,University of Ibadan,Nigeria,69.3
1168,Anna University,India,69.3
1169,Santa Clara University,USA,69.3
1170,University of Missouri-St. Louis,USA,69.3
1171,Hebei University of Technology,China,69.3
1172,Khon Kaen University,Thailand,69.3
1173,Maynooth University,Ireland,69.3
1174,Adıyaman University,Turkey,69.3
1175,University of Western Brittany,France,69.2
1176,Sant'Anna School of Advanced Studies,Italy,69.2
1177,Nippon Medical School,Japan,69.2
1178,University of Dayton,USA,69.2
1179,California Polytechnic State University, San Luis Obispo,USA,69.2
1180,Tokyo Medical University,Japan,69.2
1181,TOBB University of Economics and Technology,Turkey,69.2
1182,Wilfrid Laurier University,Canada,69.2
1183,Poznan University of Medical Sciences,Poland,69.2
1184,Changzhou University,China,69.2
1185,Prince of Songkla University,Thailand,69.2
1186,Nottingham Trent University,United Kingdom,69.2
1187,Northeast Forestry University,China,69.2
1188,Tianjin University of Technology,China,69.2
1189,Clark University,USA,69.2
1190,Assiut University,Egypt,69.2
1191,Asia University, Taiwan,Taiwan,69.2
1192,Oakland University,USA,69.2
1193,University of North Dakota,USA,69.2
1194,Indian Agricultural Research Institute,India,69.1
1195,Kanazawa Institute of Technology,Japan,69.1
1196,Erciyes University,Turkey,69.1
1197,Albany Medical College,USA,69.1
1198,Kafkas University,Turkey,69.1
1199,Federal University of Mato Grosso do Sul,Brazil,69.1
1200,Tomsk Polytechnic University,Russia,69.1
1201,Menlo College,USA,69.1
1202,Nanjing University of Chinese Medicine,China,69.1
1203,University of Alabama in Huntsville,USA,69.1
1204,Macau University of Science and Technology,China,69.1
1205,Asian Institute of Management,Philippines,69.1
1206,Fu Jen Catholic University,Taiwan,69.1
1207,University of Gdańsk,Poland,69.1
1208,Jikei University,Japan,69.1
1209,Suez Canal University,Egypt,69.1
1210,University of the Ryukyus,Japan,69.1
1211,Yokohama National University,Japan,69.1
1212,Federal University of Pará,Brazil,69.1
1213,Toulouse 1 Capitole University,France,69.0
1214,University of Bradford,United Kingdom,69.0
1215,University of Picardie Jules Verne,France,69.0
1216,University of Puerto Rico, Medical Sciences Campus,USA,69.0
1217,Carol Davila University of Medicine and Pharmacy,Romania,69.0
1218,Hebei University,China,69.0
1219,Huaqiao University,China,69.0
1220,Dong-A University,South Korea,69.0
1221,Monterrey Institute of Technology and Higher Education,Mexico,69.0
1222,Andrés Bello University,Chile,69.0
1223,Brock University,Canada,69.0
1224,Dalian Maritime University,China,69.0
1225,University of the West of England, Bristol,United Kingdom,69.0
1226,Catholic University of America,USA,69.0
1227,Conservatoire national des arts et métiers,France,69.0
1228,Jiangxi Normal University,China,69.0
1229,Nagasaki Institute of Applied Science,Japan,69.0
1230,Federal University of Paraíba,Brazil,69.0
1231,Hunan Agricultural University,China,69.0
1232,University of Lodz,Poland,69.0
1233,Dalian Medical University,China,68.9
1234,Northeast Agricultural University,China,68.9
1235,Daegu Gyeongbuk Institute of Science and Technology,South Korea,68.9
1236,University of Hyderabad,India,68.9
1237,Gran Sasso Science Institute,Italy,68.9
1238,Süleyman Demirel University,Turkey,68.9
1239,University of Western Cape,South Africa,68.9
1240,Texas State University,USA,68.9
1241,Fujita Health University,Japan,68.9
1242,Federal University of Espírito Santo,Brazil,68.9
1243,Saitama Medical University,Japan,68.9
1244,University of Algarve,Portugal,68.9
1245,University of Southern Queensland,Australia,68.9
1246,Chung Yuan Christian University,Taiwan,68.9
1247,Saitama University,Japan,68.9
1248,Boise State University,USA,68.9
1249,Henan University of Science and Technology,China,68.9
1250,SOAS University of London,United Kingdom,68.9
1251,University of Namur,Belgium,68.9
1252,Kasetsart University,Thailand,68.9
1253,Kōchi University,Japan,68.8
1254,United Arab Emirates University,United Arab Emirates,68.8
1255,University of the Punjab,Pakistan,68.8
1256,Ca' Foscari University of Venice,Italy,68.8
1257,Czech University of Life Sciences Prague,Czech Republic,68.8
1258,Austral University of Chile,Chile,68.8
1259,Public University of Navarre,Spain,68.8
1260,Qilu University of Technology,China,68.8
1261,K. N. Toosi University of Technology,Iran,68.8
1262,École supérieure de chimie, physique, électronique de Lyon,France,68.8
1263,Saga University,Japan,68.8
1264,Wenzhou University,China,68.8
1265,XLRI - Xavier School of Management,India,68.8
1266,Vietnam National University, Hanoi,Vietnam,68.8
1267,Hirosaki University,Japan,68.8
1268,University of Camerino,Italy,68.8
1269,Guangxi Medical University,China,68.8
1270,Federal University of Uberlândia,Brazil,68.8
1271,SUNY College of Environmental Science and Forestry,USA,68.8
1272,Bowling Green State University,USA,68.8
1273,Tottori University,Japan,68.7
1274,Tuscia University,Italy,68.7
1275,National Institute for Space Research (INPE),Brazil,68.7
1276,Institute of Physics, Azerbaijan National Academy of Sciences,Azerbaijan,68.7
1277,Chang'an University,China,68.7
1278,Linnaeus University,Sweden,68.7
1279,National University of Distance Education,Spain,68.7
1280,Lakehead University,Canada,68.7
1281,Vellore Institute of Technology,India,68.7
1282,Bournemouth University,United Kingdom,68.7
1283,Campus Bio-Medico University,Italy,68.7
1284,University of Pau and Pays de l'Adour,France,68.7
1285,Hyogo College of Medicine,Japan,68.7
1286,State University of Maringá,Brazil,68.7
1287,University of Almería,Spain,68.7
1288,Hebei Medical University,China,68.7
1289,California State University, Fullerton,USA,68.7
1290,Keimyung University,South Korea,68.7
1291,Hampton University,USA,68.7
1292,Xi'an University of Technology,China,68.7
1293,ESSEC Business School,France,68.6
1294,California State University, Northridge,USA,68.6
1295,École des Hautes Études en Sciences Sociales,France,68.6
1296,Medical University Sofia,Bulgaria,68.6
1297,Zagazig University,Egypt,68.6
1298,Brno University of Technology,Czech Republic,68.6
1299,Showa University,Japan,68.6
1300,Fukuoka University,Japan,68.6
1301,National Taiwan Ocean University,Taiwan,68.6
1302,Heilongjiang University,China,68.6
1303,Hiroshima Institute of Technology,Japan,68.6
1304,Atatürk University,Turkey,68.6
1305,Shanghai University of Traditional Chinese Medicine,China,68.6
1306,Trent University,Canada,68.6
1307,Shenyang Pharmaceutical University,China,68.6
1308,University of Foggia,Italy,68.6
1309,University of Miyazaki,Japan,68.6
1310,Chosun University,South Korea,68.6
1311,Babol Noshirvani University of Technology,Iran,68.6
1312,Pavol Jozef Šafárik University in Košice,Slovak Republic,68.6
1313,Rhodes University,South Africa,68.5
1314,Anhui Normal University,China,68.5
1315,Fayoum University,Egypt,68.5
1316,Kurume University,Japan,68.5
1317,Federal University of Lavras,Brazil,68.5
1318,Erzincan Binali Yıldırım University,Turkey,68.5
1319,National University of Science and Technology MISiS,Russia,68.5
1320,Zhejiang A&F University,China,68.5
1321,University of Yaoundé I,Cameroon,68.5
1322,Warsaw University of Life Sciences,Poland,68.5
1323,Autonomous University of Nuevo León,Mexico,68.5
1324,Wuhan University of Science and Technology,China,68.5
1325,Gdańsk University of Technology,Poland,68.5
1326,Soongsil University,South Korea,68.5
1327,University of León,Spain,68.5
1328,Hainan University,China,68.5
1329,University of Limoges,France,68.5
1330,Mashhad University of Medical Sciences,Iran,68.5
1331,National Kaohsiung University of Science and Technology,Taiwan,68.5
1332,Kuwait University,Kuwait,68.5
1333,National University of Rosario,Argentina,68.5
1334,University of Central Lancashire,United Kingdom,68.4
1335,National Chung Cheng University,Taiwan,68.4
1336,National Chengchi University,Taiwan,68.4
1337,Antonio Nariño University,Colombia,68.4
1338,Coventry University,United Kingdom,68.4
1339,Uludağ University,Turkey,68.4
1340,University of Agriculture Faisalabad,Pakistan,68.4
1341,University of Ghana,Ghana,68.4
1342,Okinawa Institute of Science and Technology,Japan,68.4
1343,Southern Cross University,Australia,68.4
1344,University of Carthage,Tunisia,68.4
1345,Isfahan University of Medical Sciences,Iran,68.4
1346,Ontario Tech University,Canada,68.4
1347,University of Malawi,Malawi,68.4
1348,Selçuk University,Turkey,68.4
1349,Oxford Brookes University,United Kingdom,68.4
1350,Kwansei Gakuin University,Japan,68.4
1351,Jordan University of Science and Technology,Jordan,68.4
1352,Democritus University of Thrace,Greece,68.4
1353,British University in Egypt,Egypt,68.4
1354,Skolkovo Institute of Science and Technology,Russia,68.4
1355,Guangxi Normal University,China,68.3
1356,University of Guadalajara,Mexico,68.3
1357,Lodz University of Technology,Poland,68.3
1358,University of Toulouse-Jean Jaurès,France,68.3
1359,University of Monastir,Tunisia,68.3
1360,University of Stavanger,Norway,68.3
1361,Southwest University of Science and Technology,China,68.3
1362,San Jose State University,USA,68.3
1363,Singapore Management University,Singapore,68.3
1364,Western Michigan University,USA,68.3
1365,University of Greenwich,United Kingdom,68.3
1366,Changsha University of Science and Technology,China,68.3
1367,University of South Alabama,USA,68.3
1368,Institute of Tropical Medicine Antwerp,Belgium,68.3
1369,Carleton College,USA,68.3
1370,Shimane University,Japan,68.3
1371,CY Cergy Paris University,France,68.3
1372,Istanbul University-Cerrahpaşa,Turkey,68.3
1373,Indian Institute of Science Education and Research, Kolkata,India,68.3
1374,University of the Aegean,Greece,68.3
1375,Nagoya Institute of Technology,Japan,68.3
1376,University of Perpignan,France,68.3
1377,University of Costa Rica,Costa Rica,68.2
1378,Henan Polytechnic University,China,68.2
1379,Bohai University,China,68.2
1380,Sultan Qaboos University,Oman,68.2
1381,Özyeğin University,Turkey,68.2
1382,National Institute of Technology, Rourkela,India,68.2
1383,Iran University of Medical Sciences,Iran,68.2
1384,Southwest Petroleum University,China,68.2
1385,University of Electro-Communications,Japan,68.2
1386,University of Santiago, Chile,Chile,68.2
1387,Feng Chia University,Taiwan,68.2
1388,Southwestern University of Finance and Economics,China,68.2
